"record_id","registration","normalized_registration","vehicle_make_as_stored","vehicle_model","vehicle_year","chassis_number","operational_vehicle_type_if_matched","proposed_asset_category","exists_in_shared_vehicle_master","exists_in_drivers","exists_in_fuel_logs","exists_in_weekly_mileage","exists_in_maintenance","exists_in_trip_journey","exists_in_booking_diary","relationship_classification"
"894d763f-18eb-47d2-9c61-26e34ac1bc33","64-0359","640359","ISUZU",,"2017","MP1FTR34G7T001256","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"e23a10e9-2e08-4b27-88d1-393c6e3dafb3","64-2699","642699",,,,,,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"f59d2336-7aad-47a2-9e14-f87e952a1c6c","64-5954","645954","HINO",,"2018","MNKFG8JR1XHX11604","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"e7659135-2137-4f6b-af94-fde20dbf0159","64-5956","645956","HINO",,"2018","MNKFG8JR1XHX11588","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"f2b60822-708a-4b30-8822-17388b9a1037","64-8664","648664",,,,,,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"231b1315-1d96-434b-9ee4-1c7c59a49eb2","64-8665","648665","HINO",,"2018","MNKFM1AK1XHX15548","EIGHTEEN_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"8c944d1e-6828-4d40-8f94-bc3cb2d7f341","65-6919","656919","Trailer / พ่วง",,"2010","STL040000506",,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"320d62c9-b598-49ec-bc9e-1c707bc7e4f7","65-6991","656991","Trailer / พ่วง",,"2010","STL040000406",,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"8e6e762a-cec5-4d4b-bc1b-5ae97afda5f8","68-7154","687154","HINO",,"2022","MNKFM1AK1XHX21459","EIGHTEEN_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","No","No","No","A. Operational fleet vehicle"
"8e8995b2-099c-41d6-9800-637a193048e3","6กค-782","6กค782","NISSAN Teana",,"2015","MNTBCAL33Z0003289",,"Passenger Car","No","No","No","No","No","No","No","C. Passenger/personal/company car"
"710eb2f1-08db-4819-ba05-51bd987ff481","700-4145","7004145","HINO",,"2019","MNKFG8JR1XHX11910","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","No","Yes","Yes","A. Operational fleet vehicle"
"02b47635-f0f6-4217-8e4b-52d2f923747a","700-6659","7006659",,,,,"SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"14c53a20-b166-4ac9-b092-5b23882ba6c8","700-6956","7006956",,,,,,"Unknown","No","No","No","No","No","No","No","G. Unable to determine safely"
"68cfefed-682c-42bc-8168-a33c074573b5","701-1654","7011654",,,,,"SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
