"document_id","insurance_record_id","registration","document_type","document_role","storage_bucket","storage_path","original_file_name","mime_type","file_size_bytes","database_reference_exists","associated_insurance_record_exists","storage_object_resolves","appears_orphaned","uploaded_by","created_at","updated_at"
"dac21496-592c-47cc-ab44-d46edc8cbcb9","d5f1a76c-0086-4e5e-a6fa-166c62760dec","4กข-98","insurance","Main insurance","insurance-documents","d5f1a76c-0086-4e5e-a6fa-166c62760dec/insurance/1789984782297-98-Main.pdf","98 Main.pdf","application/pdf","1515267","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T16:59:38.7949870+07:00","2026-09-21T16:59:44.1540000+07:00"
"04318c8f-0fef-4c94-afd3-5c2c7b9da4ce","e56bfebe-a5a6-4a33-b3ac-f59a509c5c00","ญม3824","compulsory","Compulsory insurance","insurance-documents","e56bfebe-a5a6-4a33-b3ac-f59a509c5c00/compulsory/1789972729228-3824-Compulsory.pdf","3824 Compulsory.pdf","application/pdf","1210148","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T13:38:35.2540320+07:00","2026-09-21T13:38:50.5920000+07:00"
"3b8a3e24-7537-4b93-a7e6-aad55d0d0640","e56bfebe-a5a6-4a33-b3ac-f59a509c5c00","ญม3824","insurance","Main insurance","insurance-documents","e56bfebe-a5a6-4a33-b3ac-f59a509c5c00/insurance/1789972671919-3824-Main.pdf","3824 Main.pdf","application/pdf","1308413","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T13:37:50.1603470+07:00","2026-09-21T13:37:53.3740000+07:00"
"dc127424-dd30-41f9-abce-554e90ef6d2e","e7659135-2137-4f6b-af94-fde20dbf0159","64-5956","compulsory","Compulsory insurance","insurance-documents","e7659135-2137-4f6b-af94-fde20dbf0159/compulsory/1789965907746-64-5956-Compulsory.pdf","64-5956 Compulsory.pdf","application/pdf","1604190","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:45:05.5998350+07:00","2026-09-21T11:45:08.8060000+07:00"
"aca65d85-0000-4963-9548-3cc781c0853a","e7659135-2137-4f6b-af94-fde20dbf0159","64-5956","insurance","Main insurance","insurance-documents","e7659135-2137-4f6b-af94-fde20dbf0159/insurance/1789965899289-64-5956-Main-Insurance.pdf","64-5956 Main Insurance.pdf","application/pdf","1739495","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:44:57.9939420+07:00","2026-09-21T11:45:00.9440000+07:00"
"f14a60e3-8fa9-4bd9-aff2-efe5ea563564","eb5cc8bf-6f22-4b15-9d01-35f8277161e8","62-1085","insurance","Main insurance","insurance-documents","eb5cc8bf-6f22-4b15-9d01-35f8277161e8/insurance/1789961240171-62-1085-Main-Insurance.pdf","62-1085 Main Insurance.pdf","application/pdf","1197636","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T10:27:17.8851840+07:00","2026-09-21T10:27:21.3790000+07:00"
"19a46b6e-b947-47e7-8363-9bfb956c790d","f59d2336-7aad-47a2-9e14-f87e952a1c6c","64-5954","compulsory","Compulsory insurance","insurance-documents","f59d2336-7aad-47a2-9e14-f87e952a1c6c/compulsory/1789965308385-64-5954-Compulsory.pdf","64-5954 Compulsory.pdf","application/pdf","1460344","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:35:06.0476850+07:00","2026-09-21T11:35:09.2770000+07:00"
"0126dab7-1842-4958-86d4-6babba738d96","f59d2336-7aad-47a2-9e14-f87e952a1c6c","64-5954","insurance","Main insurance","insurance-documents","f59d2336-7aad-47a2-9e14-f87e952a1c6c/insurance/1789965292954-64-5954-Main-Insurance.pdf","64-5954 Main Insurance.pdf","application/pdf","1705844","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:34:51.3452610+07:00","2026-09-21T11:34:54.7620000+07:00"
"6d99053e-68db-4b99-af9f-88c8b45bc02f","fce76849-c36b-485c-9f68-f217eb7a43dc","78-6996","insurance","Main insurance","insurance-documents","fce76849-c36b-485c-9f68-f217eb7a43dc/insurance/1789968856513-78-6996-Main.pdf","78-6996 Main.pdf","application/pdf","836590","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:34:14.6243280+07:00","2026-09-21T12:34:17.9330000+07:00"
"5e5186fe-b8b8-4aaa-96e2-a0216478b4f5","fe37ccb0-9996-4ae4-b725-e67738f4cfc2","61-6672","insurance","Main insurance","insurance-documents","fe37ccb0-9996-4ae4-b725-e67738f4cfc2/insurance/1789960057250-61-6672-Main-Insurance.pdf","61-6672 Main Insurance.pdf","application/pdf","1249355","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T10:07:34.7298980+07:00","2026-09-21T10:07:38.3250000+07:00"
